IP_Address	Date_Time	Request_Method	Requested_Resource	Status_Code	Bytes_Sent
66.102.9.166	05/Nov/2019:20:32:56	GET	/	200	3835
64.233.172.10	05/Nov/2019:20:32:56	GET	/	200	3835
64.233.172.8	05/Nov/2019:20:32:56	GET	/	200	3835
64.233.172.10	05/Nov/2019:20:32:57	GET	/	200	3835
66.249.75.40	05/Nov/2019:20:41:15	GET	/2019/07/15/java-heap-dump-analysis/	200	5556
66.249.75.38	05/Nov/2019:20:48:08	GET	/favicon.ico	200	91
46.229.168.153	05/Nov/2019:20:57:09	GET	/robots.txt	200	72
46.229.168.161	05/Nov/2019:20:57:10	GET	/tag/study/	200	3144
66.249.75.40	05/Nov/2019:21:01:26	GET	/2017/07/10/linux-command-5-sed/	200	5529
66.249.75.40	05/Nov/2019:21:05:00	GET	/robots.txt	200	72
128.14.134.134	05/Nov/2019:21:24:36	GET	/	301	184
128.14.134.134	05/Nov/2019:21:24:37	GET	/	200	3835
125.129.121.58	05/Nov/2019:21:25:17	GET	/2017/07/10/shell-script-basic-5/	200	5014
125.129.121.58	05/Nov/2019:21:25:17	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
125.129.121.58	05/Nov/2019:21:25:17	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
125.129.121.58	05/Nov/2019:21:25:17	GET	/assets/js/index.js?v=6ea3fea03b	200	651
125.129.121.58	05/Nov/2019:21:25:17	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
125.129.121.58	05/Nov/2019:21:25:18	GET	/favicon.ico	200	91
138.197.64.71	05/Nov/2019:21:25:40	GET	/	301	184
138.197.64.71	05/Nov/2019:21:25:41	GET	/	200	3835
138.197.64.71	05/Nov/2019:21:25:42	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
138.197.64.71	05/Nov/2019:21:25:42	GET	/assets/js/index.js?v=6ea3fea03b	200	651
138.197.64.71	05/Nov/2019:21:25:51	GET	/	200	14299
138.197.64.71	05/Nov/2019:21:26:04	GET	/robots.txt	200	72
